Processo                 ; Crime                                                    ; Cidade                   ; Vara                                                                  ; Juiz                                              ; Pena_Base     ; Pena_Definitiva        ; anos_b; meses_b; dias_b; anos_d; meses_d; dias_d
1502730-98.2021.8.26.0542; Tráfico de Drogas e Condutas Afins                       ; Jandira                  ; 1ªª Vara                                                              ; André Luiz Tomasi de Queirã³z                     ; 7 ano 0 mês 0 dia ; 9 ano 4 mês 0 dia  ;      7;       0;      0;      9;       4;      0
0001048-26.2018.8.26.0628; Tráfico de Drogas e Condutas Afins                       ; Cotia                    ; Vara Criminal                                                         ; Andressa Martins Bejarano                         ; 5 ano 0 mês 0 dia ; 1 ano 8 mês 0 dia  ;      5;       0;      0;      1;       8;      0
1500891-31.2021.8.26.0318; Tráfico de Drogas e Condutas Afins                       ; Leme                     ; Vara Criminal                                                         ; LUCAS SEMAAN CAMPOS EZEQUIEL                      ; 5 ano 0 mês 0 dia ; 1 ano 8 mês 0 dia  ;      5;       0;      0;      1;       8;      0
1502531-19.2019.8.26.0616; Tráfico de Drogas e Condutas Afins                       ; Suzano                   ; 1ªª Vara Criminal                                                     ; FERNANDO OLIVEIRA CAMARGO                         ; 5 ano 0 mês 0 dia ; 1 ano 8 mês 0 dia  ;      5;       0;      0;      1;       8;      0
1500167-78.2021.8.26.0592; Tráfico de Drogas e Condutas Afins                       ; Lucélia                  ; 1ªª Vara                                                              ; GUILHERME LOPES ALVES PEREIRA                     ; 5 ano 10 mês 0 dia; 6 ano 9 mês 20 dia ;      5;      10;      0;      6;       9;     20
1500675-55.2021.8.26.0129; Tráfico de Drogas e Condutas Afins                       ; Casa Branca              ; 1ªª Vara                                                              ; JOSE ALFREDO DE ANDRADE FILHO                     ; 5 ano 10 mês 0 dia; 7 ano 11 mês 8 dia ;      5;      10;      0;      7;      11;      8
0036885-74.2014.8.26.0114; Tráfico de Drogas e Condutas Afins                       ; Campinas                 ; 1ªª Vara Criminal                                                     ; PATRãCIA SUãREZ PAE KIM                           ; N/A               ; 1 ano              ;      0;       0;      0;      1;       0;      0
1500840-95.2021.8.26.0196; Tráfico de Drogas e Condutas Afins                       ; Franca                   ; 1ªª Vara Criminal                                                     ; Luciano Franchi Lemes                             ; 5 ano 0 mês 0 dia ; 1 ano 8 mês 0 dia  ;      5;       0;      0;      1;       8;      0
1500958-15.2022.8.26.0559; Tráfico de Drogas e Condutas Afins                       ; José Bonifácio           ; 2ªª Vara                                                              ; Natália Berti                                     ; 6 ano 0 mês 0 dia ; 7 ano 0 mês 0 dia  ;      6;       0;      0;      7;       0;      0
1500233-34.2022.8.26.0621; Tráfico de Drogas e Condutas Afins                       ; Aparecida                ; 1ªª Vara                                                              ; LUIZ FELLIPPE DE SOUZA MARINO                     ; 5 ano 0 mês 0 dia ; 2 ano 6 mês 0 dia  ;      5;       0;      0;      2;       6;      0
0017855-80.2016.8.26.0050; Tráfico de Drogas e Condutas Afins                       ; SãO PAULO                ; 14ªª Vara Criminal                                                    ; FERNANDA HELENA BENEVIDES DIAS                    ; 5 ano 10 mês 0 dia; 6 ano 9 mês 20 dia ;      5;      10;      0;      6;       9;     20
1500210-55.2022.8.26.0535; Tráfico de Drogas e Condutas Afins                       ; Arujá                    ; 2ªª Vara                                                              ; JOSã HENRIQUE OLIVEIRA GOMES                      ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1500615-49.2020.8.26.0022; Tráfico de Drogas e Condutas Afins                       ; Amparo                   ; 1ªª Vara                                                              ; Fernando Leonardi Campanella                      ; N/A               ; 1 ano              ;      0;       0;      0;      1;       0;      0
1502221-88.2022.8.26.0266; Tráfico de Drogas e Condutas Afins                       ; Itanhaém                 ; 1ªª Vara                                                              ; Paulo Alexandre Rodrigues Coutinho                ; 5 ano 0 mês 0 dia ; 2 ano 6 mês 0 dia  ;      5;       0;      0;      2;       6;      0
1519265-74.2021.8.26.0228; Tráfico de Drogas e Condutas Afins                       ; SãO PAULO                ; 13ªª Vara Criminal                                                    ; ERIKA FERNANDES                                   ; 5 ano 0 mês 0 dia ; 5 ano 0 mês 0 dia  ;      5;       0;      0;      5;       0;      0
1500137-25.2021.8.26.0598; Tráfico de Drogas e Condutas Afins                       ; Pederneiras              ; 2ªª Vara                                                              ; CAROLINA DIONãSIO                                 ; 5 ano 10 mês 0 dia; 6 ano 9 mês 0 dia  ;      5;      10;      0;      6;       9;      0
0004818-97.2022.8.26.0624; Tráfico de Drogas e Condutas Afins                       ; Tatuã­                   ; 1ªª Vara Criminal                                                     ; Mariana Teixeira Salviano da Rocha                ; 5 ano 0 mês 0 dia ; 1 ano 11 mês 10 dia;      5;       0;      0;      1;      11;     10
1500275-18.2022.8.26.0481; Tráfico de Drogas e Condutas Afins                       ; Presidente Epitácio      ; 1ªª Vara                                                              ; MARIA FERNANDA SANDOVAL EUGENIO BARREIROS TAMAOKI ; N/A               ; 0 ano              ;      0;       0;      0;      0;       0;      0
1500017-08.2021.8.26.0072; Tráfico de Drogas e Condutas Afins                       ; Bebedouro                ; 3ªª Vara                                                              ; JOAO CARLOS SAUD ABDALA FILHO                     ; N/A               ; 5 ano 0 mês 0 dia  ;      0;       0;      0;      5;       0;      0
1500864-73.2022.8.26.0266; Tráfico de Drogas e Condutas Afins                       ; Itanhaém                 ; 1ªª Vara                                                              ; Paulo Alexandre Rodrigues Coutinho                ; 5 ano 0 mês 0 dia ; 5 ano 0 mês 0 dia  ;      5;       0;      0;      5;       0;      0
1500387-86.2021.8.26.0621; Tráfico de Drogas e Condutas Afins                       ; Lorena                   ; Vara Criminal                                                         ; Daniel Otero Pereira da Costa                     ; N/A               ; 6 ano              ;      0;       0;      0;      6;       0;      0
0002626-21.2011.8.26.0288; Tráfico de Drogas e Condutas Afins                       ; Ituverava                ; 2ªª Vara                                                              ; JOSE MAGNO LOUREIRO JUNIOR                        ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1500313-78.2020.8.26.0617; Tráfico de Drogas e Condutas Afins                       ; Sã£o José dos Campos     ; 4ªª Vara Criminal                                                     ; NAIRA ASSIS BARBOSA                               ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1500313-78.2020.8.26.0617; Tráfico de Drogas e Condutas Afins                       ; Sã£o José dos Campos     ; 4ªª Vara Criminal                                                     ; NAIRA ASSIS BARBOSA                               ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1501034-65.2021.8.26.0594; Tráfico de Drogas e Condutas Afins                       ; Bauru                    ; 1ªª Vara Criminal                                                     ; ãrica Marcelina Cruz                              ; 6 ano             ; 5 ano 0 mês 0 dia  ;      6;       0;      0;      5;       0;      0
1500778-03.2021.8.26.0569; Tráfico de Drogas e Condutas Afins                       ; Itu                      ; 2ªª Vara Criminal e do Jãºri                                          ; Hélio Villaã§a Furukawa                           ; 5 ano 0 mês 0 dia ; 5 ano 0 mês 0 dia  ;      5;       0;      0;      5;       0;      0
1500459-60.2021.8.26.0593; Tráfico de Drogas e Condutas Afins                       ; Marã­lia                 ; 2ªª Vara Criminal                                                     ; Paulo Gustavo Ferrari                             ; 5 ano 10 mês 0 dia; 6 ano 9 mês 20 dia ;      5;      10;      0;      6;       9;     20
1500459-60.2021.8.26.0593; Tráfico de Drogas e Condutas Afins                       ; Marã­lia                 ; 2ªª Vara Criminal                                                     ; Paulo Gustavo Ferrari                             ; 5 ano 0 mês 0 dia ; 5 ano 10 mês 0 dia ;      5;       0;      0;      5;      10;      0
1500449-04.2022.8.26.0618; Tráfico de Drogas e Condutas Afins                       ; Taubaté                  ; 3ªª Vara Criminal                                                     ; Marcia Beringhs Domingues de Castro               ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
